ราคากลางเปิดตลาด ,,,,
การยางแห่งประเทศไทย ฝ่ายเศรษฐกิจยาง,,,,
ว/ด/ป,ราคากลาง,,,
,น้ำยางสด (DRC100%),ยางก้อนถ้วย (DRC100%),ยางแผ่นดิบ,"ยางแผ่นรมควัน 
(ไม่อัดก้อน)"
คอลัมน์1,คอลัมน์2,คอลัมน์3,คอลัมน์4,คอลัมน์5
3 มกราคม 2565,48.00,46.50,53.88,56.13
4 มกราคม 2565,49.00,46.50,53.88,57.15
5 มกราคม 2565,51.50,47.00,53.64,57.56
6 มกราคม 2565,52.80,47.50,54.40,58.20
7 มกราคม 2565,53.00,47.50,54.64,57.82
10 มกราคม 2565,51.00,48.50,54.77,57.81
11 มกราคม 2565,51.00,49.00,55.01,57.89
12 มกราคม 2565,52.00,49.30,54.82,58.13
13 มกราคม 2565,54.50,49.50,55.24,48.49
14 มกราคม 2565,56.50,49.50,55.81,59.39
17 มกราคม 2565,54.50,49.20,56.05,60.02
18 มกราคม 2565,53.00,48.80,55.96,58.93
19 มกราคม 2565,53.00,49.00,55.47,57.85
20 มกราคม 2565,53.80,49.80,55.86,58.67
21 มกราคม 2565,56.00,49.70,56.05,59.11
24 มกราคม 2565,54.50,49.00,55.19,58.33
25 มกราคม 2565,53.00,48.60,54.85,57.47
26 มกราคม 2565,53.00,48.60,54.95,57.39
27 มกราคม 2565,53.50,49.50,55.34,57.69
28 มกราคม 2565,54.50,49.50,55.29,58.16
31 มกราคม 2565,56.00,49.60,55.16,58.16
1 กุมภาพันธ์ 2565,56.70,49.80,55.55,58.85
2 กุมภาพันธ์ 2565,56.70,49.50,55.82,59.15
3 กุมภาพันธ์ 2565,57.00,49.00,56.26,59.58
4 กุมภาพันธ์ 2565,57.20,49.50,56.38,59.79
7 กุมภาพันธ์ 2565,58.50,49.50,56.33,59.95
8 กุมภาพันธ์ 2565,59.50,49.70,57.46,61.00
9 กุมภาพันธ์ 2565,60.30,50.00,57.87,62.29
10 กุมภาพันธ์ 2565,61.30,50.40,59.14,63.06
11 กุมภาพันธ์ 2565,62.00,51.00,59.46,63.69
14 กุมภาพันธ์ 2565,64.00,50.90,60.06,63.77
15 กุมภาพันธ์ 2565,65.00,51.30,60.74,64.63
17 กุมภาพันธ์ 2565,65.50,51.60,60.59,63.92
18 กุมภาพันธ์ 2565,66.00,51.80,61.13,64.22
21 กุมภาพันธ์ 2565,67.50,52.30,61.80,65.00
22 กุมภาพันธ์ 2565,68.50,51.80,62.32,66.60
23 กุมภาพันธ์ 2565,69.00,52.00,63.29,66.60
24 กุมภาพันธ์ 2565,69.50,51.50,63.21,66.90
25 กุมภาพันธ์ 2565,70.00,52.30,65.01,67.73
28 กุมภาพันธ์ 2565,70.50,53.30,65.59,68.37
1 มีนาคม 2565,71.00,52.80,64.99,68.97
2 มีนาคม 2565,71.20,52.30,64.96,68.26
3 มีนาคม 2565,71.00,52.30,65.18,68.67
4 มีนาคม 2565,70.50,52.00,65.75,69.05
7 มีนาคม 2565,69.50,51.80,65.35,67.76
8 มีนาคม 2565,68.80,51.80,64.52,68.46
9 มีนาคม 2565,68.30,51.10,63.69,66.80
10 มีนาคม 2565,68.50,51.60,64.20,67.36
11 มีนาคม 2565,68.00,51.30,63.75,67.64
14 มีนาคม 2565,66.50,50.60,63.52,67.25
15 มีนาคม 2565,66.00,50.30,63.63,67.39
16 มีนาคม 2565,65.50,50.00,63.69,67.64
17 มีนาคม 2565,65.50,49.80,62.89,67.07
18 มีนาคม 2565,64.50,49.80,62.24,67.11
21 มีนาคม 2565,64.70,50.60,63.11,67.52
22 มีนาคม 2565,65.00,50.80,62.85,67.81
23 มีนาคม 2565,65.50,50.80,63.44,68.19
24 มีนาคม 2565,66.00,50.80,63.88,68.67
25 มีนาคม 2565,66.30,51.10,64.25,68.88
28 มีนาคม 2565,66.70,51.10,64.60,69.68
29 มีนาคม 2565,67.00,51.10,64.64,70.07
30 มีนาคม 2565,67.20,50.60,65.26,70.39
31 มีนาคม 2565,67.20,51.10,65.81,71.09
1 เมษายน 2565,67.50,51.10,66.05,71.93
4 เมษายน 2565,67.80,51.10,67.15,72.95
5 เมษายน 2565,68.50,51.60,68.09,74.17
7 เมษายน 2565,68.70,51.35,68.09,75.50
8 เมษายน 2565,68.90,50.65,69.95,75.85
11 เมษายน 2565,68.90,50.90,70.00,75.35
12 เมษายน 2565,68.00,50.75,70.28,73.56
18 เมษายน 2565,64.00,50.75,69.66,72.07
19 เมษายน 2565,63.00,50.75,68.16,72.34
20 เมษายน 2565,63.00,50.75,68.36,72.32
21 เมษายน 2565,63.00,50.50,66.89,71.42
22 เมษายน 2565,63.20,50.50,66.94,70.49
25 เมษายน 2565,63.50,50.00,66.63,69.39
26 เมษายน 2565,62.80,48.50,65.58,68.24
27 เมษายน 2565,62.20,48.70,64.62,66.58
28 เมษายน 2565,62.20,48.50,63.89,65.26
29 เมษายน 2565,62.80,48.50,63.56,65.27
3 พฤษภาคม 2565,63.30,48.80,64.00,66.11
5 พฤษภาคม 2565,64.00,49.00,63.70,66.90
6 พฤษภาคม 2565,64.80,48.80,64.36,67.77
9 พฤษภาคม 2565,65.00,48.50,64.38,68.19
10 พฤษภาคม 2565,65.50,48.00,62.40,68.40
11 พฤษภาคม 2565,66.00,48.20,63.75,68.11
12 พฤษภาคม 2565,66.50,48.20,63.75,67.99
17 พฤษภาคม 2565,67.00,48.20,63.56,67.83
18 พฤษภาคม 2565,67.20,48.70,63.98,68.42
19 พฤษภาคม 2565,66.50,48.50,63.84,68.93
20 พฤษภาคม 2565,66.50,48.50,63.59,68.80
23 พฤษภาคม 2565,67.00,48.50,64.37,69.11
24 พฤษภาคม 2565,67.20,48.50,63.88,69.20
25 พฤษภาคม 2565,67.20,48.50,64.68,69.56
26 พฤษภาคม 2565,66.70,48.50,65.06,69.49
27 พฤษภาคม 2565,66.20,48.50,64.96,69.55
30 พฤษภาคม 2565,66.50,48.60,65.36,69.63
31 พฤษภาคม 2565,66.80,48.80,65.58,69.97
1 มิถุนายน 2565,67.00,49.20,65.87,70.35
2 มิถุนายน 2565,67.30,49.30,65.87,70.50
6 มิถุนายน 2565,67.30,49.40,65.34,70.81
7 มิถุนายน 2565,67.30,49.40,65.69,71.00
8 มิถุนายน 2565,67.30,49.30,65.91,70.41
9 มิถุนายน 2565,66.50,49.30,66.81,70.25
10 มิถุนายน 2565,66.00,49.50,67.38,70.74
13 มิถุนายน 2565,61.50,49.50,66.39,69.88
14 มิถุนายน 2565,60.50,49.20,65.65,68.18
15 มิถุนายน 2565,59.00,49.00,64.42,66.31
16 มิถุนายน 2565,58.00,49.00,64.65,65.99
17 มิถุนายน 2565,57.50,49.00,63.83,66.13
20 มิถุนายน 2565,56.80,49.00,64.24,65.93
21 มิถุนายน 2565,55.50,49.00,63.82,65.19
22 มิถุนายน 2565,54.60,48.80,63.03,64.44
23 มิถุนายน 2565,54.60,48.50,63.08,63.89
24 มิถุนายน 2565,54.60,48.60,62.99,63.53
27 มิถุนายน 2565,54.60,48.60,62.66,63.55
28 มิถุนายน 2565,53.80,48.70,62.67,62.69
29 มิถุนายน 2565,52.80,48.70,61.83,62.00
30 มิถุนายน 2565,52.80,48.80,61.35,62.02
1 กรกฎาคม 2565,52.80,48.70,60.72,62.08
4 กรกฎาคม 2565,52.80,48.70,60.38,62.05
5 กรกฎาคม 2565,52.80,48.80,59.40,62.09
6 กรกฎาคม 2565,52.80,48.70,58.93,62.09
7 กรกฎาคม 2565,52.80,48.40,57.93,61.16
8 กรกฎาคม 2565,52.80,48.40,58.11,61.13
11 กรกฎาคม 2565,52.80,48.40,58.38,61.01
12 กรกฎาคม 2565,53.00,48.40,58.33,59.98
15 กรกฎาคม 2565,53.00,48.00,58.77,60.33
18 กรกฎาคม 2565,53.00,48.00,57.37,59.00
19 กรกฎาคม 2565,52.30,48.10,57.33,59.02
20 กรกฎาคม 2565,52.50,48.30,56.83,58.11
21 กรกฎาคม 2565,52.50,48.30,56.80,58.18
22 กรกฎาคม 2565,52.50,48.20,56.80,58.11
25 กรกฎาคม 2565,52.80,48.20,55.85,57.02
26 กรกฎาคม 2565,53.00,48.30,55.85,57.21
27 กรกฎาคม 2565,53.20,48.30,55.88,57.28
29 กรกฎาคม 2565,53.20,48.30,55.92,57.35
1 สิงหาคม 2565,53.20,48.40,54.62,57.28
2 สิงหาคม 2565,52.70,48.20,54.20,56.29
3 สิงหาคม 2565,51.70,48.00,53.94,55.95
4 สิงหาคม 2565,51.70,47.90,54.53,56.02
5 สิงหาคม 2565,51.70,47.90,54.56,56.02
8 สิงหาคม 2565,51.70,47.80,54.02,55.67
9 สิงหาคม 2565,51.00,49.90,54.01,54.38
10 สิงหาคม 2565,50.50,47.90,53.00,54.05
11 สิงหาคม 2565,49.50,47.60,52.06,53.25
15 สิงหาคม 2565,47.00,47.40,50.00,51.00
16 สิงหาคม 2565,47.00,47.10,48.50,49.50
17 สิงหาคม 2565,47.00,46.90,48.50,50.14
18 สิงหาคม 2565,47.30,46.80,48.78,50.59
19 สิงหาคม 2565,47.50,46.80,48.95,50.81
22 สิงหาคม 2565,47.50,46.40,48.94,50.22
23 สิงหาคม 2565,47.50,46.40,48.89,50.42
24 สิงหาคม 2565,47.80,46.50,48.80,50.49
25 สิงหาคม 2565,47.80,46.30,48.55,50.50
26 สิงหาคม 2565,47.80,45.90,48.46,50.40
29 สิงหาคม 2565,48.00,45.50,48.18,50.00
30 สิงหาคม 2565,48.20,45.30,48.35,50.13
31 สิงหาคม 2565,47.30,44.30,48.06,50.01
1 กันยายน 2565,46.50,43.60,47.51,49.55
2 กันยายน 2565,45.50,42.70,47.02,48.00
5 กันยายน 2565,45.50,42.20,46.06,47.03
6 กันยายน 2565,45.50,42.00,45.52,47.07
7 กันยายน 2565,45.50,40.90,45.50,47.07
8 กันยายน 2565,45.50,40.70,45.08,47.00
9 กันยายน 2565,45.50,40.70,45.33,47.14
12 กันยายน 2565,45.50,40.70,44.90,47.28
13 กันยายน 2565,45.50,40.80,45.27,47.15
14 กันยายน 2565,45.50,41.20,45.71,47.50
15 กันยายน 2565,45.50,41.10,45.98,47.89
16 กันยายน 2565,45.50,41.70,46.10,48.49
19 กันยายน 2565,45.50,41.50,46.11,48.57
20 กันยายน 2565,45.50,41.30,45.80,48.42
21 กันยายน 2565,45.50,41.40,46.16,48.20
22 กันยายน 2565,45.50,41.20,45.90,48.12
23 กันยายน 2565,45.50,41.20,45.78,48.58
26 กันยายน 2565,45.50,41.10,45.64,48.50
27 กันยายน 2565,45.50,41.10,45.66,48.09
28 กันยายน 2565,45.70,41.80,46.04,48.78
29 กันยายน 2565,45.70,42.00,46.16,48.69
30 กันยายน 2565,45.70,42.00,46.51,49.19
3 ตุลาคม 2565,45.70,42.30,46.69,49.44
4 ตุลาคม 2565,45.90,42.30,46.93,49.90
5 ตุลาคม 2565,45.90,42.60,47.19,50.41
6 ตุลาคม 2565,46.10,42.80,47.88,50.85
7 ตุลาคม 2565,46.40,43.20,48.67,51.52
10 ตุลาคม 2565,46.50,43.50,49.22,52.36
11 ตุลาคม 2565,46.60,43.50,50.17,52.93
12 ตุลาคม 2565,46.60,43.30,49.79,52.50
14 ตุลาคม 2565,46.70,43.00,49.77,50.62
17 ตุลาคม 2565,46.80,43.00,49.25,50.93
18 ตุลาคม 2565,46.90,43.30,48.77,51.40
19 ตุลาคม 2565,47.00,43.10,48.81,52.70
20 ตุลาคม 2565,47.00,43.00,49.01,53.41
21 ตุลาคม 2565,47.00,42.50,49.10,52.50
25 ตุลาคม 2565,47.10,41.35,48.58,51.00
26 ตุลาคม 2565,47.30,41.05,48.72,50.12
27 ตุลาคม 2565,47.30,41.00,48.20,49.82
28 ตุลาคม 2565,47.30,41.00,47.69,49.76
31 ตุลาคม 2565,47.00,40.75,47.03,49.47
1  พฤศจิกายน 2565,46.10,40.30,46.74,47.93
2  พฤศจิกายน 2565,45.10,39.80,46.80,48.01
3  พฤศจิกายน 2565,44.50,39.75,46.00,48.00
4  พฤศจิกายน 2565,,,,
