ราคากลางเปิดตลาด ,,,,
การยางแห่งประเทศไทย ฝ่ายเศรษฐกิจยาง,,,,
ว/ด/ป,ราคากลาง,,,
,น้ำยางสด (DRC100%),ยางก้อนถ้วย (DRC100%),ยางแผ่นดิบ,"ยางแผ่นรมควัน 
(ไม่อัดก้อน)"
คอลัมน์1,คอลัมน์2,คอลัมน์3,คอลัมน์4,คอลัมน์5
8 มิถุนายน 2561,-,-,47.59,49.62
11 มิถุนายน 2561,-,-,46.89,48.95
12 มิถุนายน 2561,-,-,46.30,49.52
13 มิถุนายน 2561,-,-,46.59,48.57
14 มิถุนายน 2561,-,-,45.93,48.38
15 มิถุนายน 2561,-,-,45.40,47.18
18 มิถุนายน 2561,-,-,45.45,46.79
19 มิถุนายน 2561,-,-,44.56,46.43
20 มิถุนายน 2561,-,-,44.20,45.85
21 มิถุนายน 2561,-,-,44.05,46.20
22 มิถุนายน 2561,-,-,43.69,46.34
25 มิถุนายน 2561,-,-,43.89,46.36
26 มิถุนายน 2561,-,-,44.00,46.46
27 มิถุนายน 2561,-,-,44.40,46.27
28 มิถุนายน 2561,-,-,44.29,46.24
29 มิถุนายน 2561,-,-,44.52,46.44
2 กรกฎาคม 2561,-,36.00,44.70,46.55
3 กรกฎาคม 2561,-,35.50,44.18,45.22
4 กรกฎาคม 2561,-,36.00,43.89,44.91
5 กรกฎาคม 2561,-,35.00,43.10,44.89
6 กรกฎาคม 2561,-,35.00,43.30,44.76
9 กรกฎาคม 2561,-,35.50,43.14,45.00
10 กรกฎาคม 2561,-,35.50,43.87,45.30
11 กรกฎาคม 2561,-,35.00,43.77,45.63
12 กรกฎาคม 2561,-,36.00,43.58,45.53
13 กรกฎาคม 2561,-,36.00,43.65,45.65
16 กรกฎาคม 2561,-,36.00,43.81,45.69
17 กรกฎาคม 2561,-,36.50,43.74,45.79
18 กรกฎาคม 2561,-,36.50,44.19,45.99
19 กรกฎาคม 2561,-,36.50,44.42,46.14
20 กรกฎาคม 2561,-,36.00,44.00,46.03
23 กรกฎาคม 2561,-,36.00,43.69,46.01
24 กรกฎาคม 2561,-,36.00,43.32,45.19
25 กรกฎาคม 2561,-,36.00,43.14,44.51
26 กรกฎาคม 2561,-,36.00,43.34,44.69
31 กรกฎาคม 2561,-,36.00,43.76,44.58
1 สิงหาคม 2561,-,36.50,43.56,44.55
2 สิงหาคม 2561,-,35.50,43.21,44.33
3 สิงหาคม 2561,-,36.00,43.02,43.86
6 สิงหาคม 2561,-,36.50,42.80,43.81
7 สิงหาคม 2561,-,37.00,43.03,43.92
8 สิงหาคม 2561,-,37.50,43.16,44.39
9 สิงหาคม 2561,-,37.00,43.44,44.68
10 สิงหาคม 2561,-,37.00,43.58,44.59
14 สิงหาคม 2561,-,37.00,42.92,44.60
15 สิงหาคม 2561,-,37.00,43.09,44.69
16 สิงหาคม 2561,-,36.00,42.99,44.69
17 สิงหาคม 2561,-,36.50,42.99,44.69
20 สิงหาคม 2561,-,36.50,42.56,44.69
21 สิงหาคม 2561,-,37.00,43.06,44.92
22 สิงหาคม 2561,-,38.00,43.07,44.97
23 สิงหาคม 2561,-,38.00,43.60,45.67
24 สิงหาคม 2561,-,38.00,43.37,45.49
27 สิงหาคม 2561,-,37.00,43.33,45.36
28 สิงหาคม 2561,-,37.00,43.34,45.45
29 สิงหาคม 2561,-,37.00,43.40,44.97
30 สิงหาคม 2561,-,37.00,43.14,44.45
31 สิงหาคม 2561,-,37.00,43.35,44.38
3 กันยายน 2561,-,37.00,43.18,43.74
4 กันยายน 2561,-,36.00,42.55,43.28
5 กันยายน 2561,-,36.50,42.15,43.08
6 กันยายน 2561,-,36.50,42.35,43.33
7 กันยายน 2561,-,36.00,41.92,43.06
10 กันยายน 2561,-,36.00,41.65,42.54
11 กันยายน 2561,-,36.00,41.61,42.10
12 กันยายน 2561,-,36.50,41.57,42.27
13 กันยายน 2561,-,36.50,41.46,42.50
14 กันยายน 2561,-,36.00,41.71,42.63
17 กันยายน 2561,-,36.00,41.66,42.45
18 กันยายน 2561,-,36.00,41.19,42.12
19 กันยายน 2561,-,36.00,40.59,42.07
20 กันยายน 2561,-,36.50,40.59,42.02
21 กันยายน 2561,-,36.50,41.08,42.34
24 กันยายน 2561,-,36.50,40.40,42.36
25 กันยายน 2561,-,36.50,40.57,42.37
26 กันยายน 2561,-,36.50,40.42,42.27
27 กันยายน 2561,-,36.00,40.63,42.37
28 กันยายน 2561,-,36.00,40.31,42.00
1 ตุลาคม 2561,-,35.80,40.11,42.16
2 ตุลาคม 2561,-,36.30,40.69,42.15
3 ตุลาคม 2561,-,36.00,40.63,42.47
4 ตุลาคม 2561,-,36.00,40.41,42.39
5 ตุลาคม 2561,-,36.50,40.47,42.46
8 ตุลาคม 2561,-,37.00,40.60,42.48
9 ตุลาคม 2561,-,36.00,40.67,42.59
10 ตุลาคม 2561,-,36.00,40.30,42.73
11 ตุลาคม 2561,-,36.50,40.68,42.88
12 ตุลาคม 2561,-,36.50,40.48,42.71
16 ตุลาคม 2561,-,35.50,40.64,42.80
17 ตุลาคม 2561,-,36.50,40.71,42.91
18 ตุลาคม 2561,-,35.00,40.63,42.92
19 ตุลาคม 2561,-,35.00,40.40,42.83
22 ตุลาคม 2561,-,35.50,40.43,42.72
24 ตุลาคม 2561,-,34.50,40.52,42.69
25 ตุลาคม 2561,-,34.00,40.55,42.50
26 ตุลาคม 2561,-,34.00,40.55,42.34
29 ตุลาคม 2561,-,33.50,40.55,42.04
30 ตุลาคม 2561,-,33.50,40.56,41.18
31 ตุลาคม 2561,-,33.50,40.56,41.14
1 พฤศจิกายน 2561,-,33.50,40.35,40.85
2 พฤศจิกายน 2561,-,33.25,40.00,41.25
5 พฤศจิกายน 2561,-,33.25,39.91,40.61
6 พฤศจิกายน 2561,-,33.15,39.23,40.48
7 พฤศจิกายน 2561,-,33.15,38.99,40.24
8 พฤศจิกายน 2561,-,33.10,38.97,40.20
9 พฤศจิกายน 2561,-,33.00,38.72,40.36
12 พฤศจิกายน 2561,-,32.70,38.86,40.00
13 พฤศจิกายน 2561,-,32.50,38.49,39.89
14 พฤศจิกายน 2561,-,32.30,38.00,39.57
15 พฤศจิกายน 2561,-,32.20,37.89,39.96
16 พฤศจิกายน 2561,-,32.00,37.81,40.14
19 พฤศจิกายน 2561,-,32.00,38.16,40.37
20 พฤศจิกายน 2561,-,31.80,38.02,40.16
21 พฤศจิกายน 2561,-,31.80,37.76,39.74
22 พฤศจิกายน 2561,-,31.80,37.56,40.49
23 พฤศจิกายน 2561,-,31.80,37.79,39.97
26 พฤศจิกายน 2561,-,31.80,37.79,39.74
27 พฤศจิกายน 2561,-,31.80,37.61,39.67
28 พฤศจิกายน 2561,-,31.80,37.76,39.61
29 พฤศจิกายน 2561,-,31.80,37.72,39.19
30 พฤศจิกายน 2561,-,31.80,37.82,39.63
3 ธันวาคม 2561,-,32.00,37.70,39.79
4 ธันวาคม 2561,-,32.00,37.99,40.13
6 ธันวาคม 2561,-,32.20,37.96,40.30
7 ธันวาคม 2561,-,32.20,38.07,40.27
11 ธันวาคม 2561,-,32.50,38.18,40.54
12 ธันวาคม 2561,-,32.80,38.37,40.75
13 ธันวาคม 2561,-,33.00,38.63,40.90
14 ธันวาคม 2561,-,33.10,39.17,41.54
17 ธันวาคม 2561,-,34.00,39.29,42.21
18 ธันวาคม 2561,-,34.20,39.97,43.19
19 ธันวาคม 2561,-,34.20,40.41,43.35
20 ธันวาคม 2561,-,34.20,40.77,43.17
21 ธันวาคม 2561,-,34.30,41.10,43.73
24 ธันวาคม 2561,-,34.30,40.92,43.82
25 ธันวาคม 2561,-,34.00,41.27,43.76
26 ธันวาคม 2561,-,34.00,41.34,43.34
27 ธันวาคม 2561,-,34.00,40.67,42.64
28 ธันวาคม 2561,-,34.00,41.28,43.72
