ราคากลางเปิดตลาด ,,,,
การยางแห่งประเทศไทย ฝ่ายเศรษฐกิจยาง,,,,
ว/ด/ป,ราคากลาง,,,
,น้ำยางสด (DRC100%),ยางก้อนถ้วย (DRC100%),ยางแผ่นดิบ,"ยางแผ่นรมควัน 
(ไม่อัดก้อน)"
คอลัมน์1,คอลัมน์2,คอลัมน์3,คอลัมน์4,คอลัมน์5
2 มกราคม 2563,32.50,34.30,40.54,41.15
3 มกราคม 2563,34.50,34.40,39.76,41.06
6 มกราคม 2563,39.00,34.30,39.46,40.91
7 มกราคม 2563,39.30,34.30,39.77,41.88
8 มกราคม 2563,39.60,34.40,39.86,42.29
9 มกราคม 2563,40.00,34.40,40.33,42.69
10 มกราคม 2563,40.60,34.30,40.71,42.90
13 มกราคม 2563,41.50,34.30,40.93,42.83
14 มกราคม 2563,41.70,34.20,41.33,43.66
15 มกราคม 2563,42.20,34.40,41.84,44.88
16 มกราคม 2563,42.70,34.40,42.14,44.74
17 มกราคม 2563,43.00,34.50,42.13,44.59
20 มกราคม 2563,42.00,34.37,42.37,45.01
21 มกราคม 2563,41.00,34.30,42.42,44.22
22 มกราคม 2563,41.00,34.30,41.93,43.45
23 มกราคม 2563,41.00,34.30,41.72,42.58
24 มกราคม 2563,41.20,34.30,41.67,42.79
27 มกราคม 2563,ปิดทำการ,34.00,40.00,42.54
28 มกราคม 2563,41.00,34.00,39.88,41.77
29 มกราคม 2563,40.50,33.90,40.45,41.97
30 มกราคม 2563,40.00,33.90,40.87,42.24
31 มกราคม 2563,39.50,33.90,40.97,42.22
3 กุมภาพันธ์ 2563,39.80,33.30,41.33,42.20
4 กุมภาพันธ์ 2563,39.50,33.20,39.82,40.85
5 กุมภาพันธ์ 2563,39.40,33.30,39.84,40.86
6 กุมภาพันธ์ 2563,39.50,33.40,40.09,41.01
7 กุมภาพันธ์ 2563,39.50,33.40,40.52,41.53
11 กุมภาพันธ์ 2563,39.70,33.60,40.67,41.70
12 กุมภาพันธ์ 2563,40.00,33.80,40.74,42.22
13 กุมภาพันธ์ 2563,40.60,33.90,40.71,42.61
14 กุมภาพันธ์ 2563,41.20,33.90,40.85,43.13
17 กุมภาพันธ์ 2563,41.50,34.10,41.25,43.48
18 กุมภาพันธ์ 2563,41.80,34.20,41.45,44.17
19 กุมภาพันธ์ 2563,42.20,34.20,41.87,44.77
20 กุมภาพันธ์ 2563,42.80,34.20,42.13,45.29
21 กุมภาพันธ์ 2563,43.80,34.30,42.60,45.65
24 กุมภาพันธ์ 2563,44.30,34.50,43.65,46.23
25 กุมภาพันธ์ 2563,44.50,33.20,43.91,46.30
26 กุมภาพันธ์ 2563,44.50,33.20,43.06,45.44
27 กุมภาพันธ์ 2563,44.70,34.00,42.69,45.19
28 กุมภาพันธ์ 2563,44.70,34.10,42.57,45.54
2 มีนาคม 2563,44.40,34.00,42.26,45.54
3 มีนาคม 2563,43.50,34.10,42.52,44.56
4 มีนาคม 2563,42.80,43.10,42.56,44.71
5 มีนาคม 2563,42.00,34.00,42.41,45.13
6 มีนาคม 2563,41.70,33.60,42.59,45.44
9 มีนาคม 2563,40.80,33.20,42.69,44.91
10 มีนาคม 2563,39.30,32.70,41.87,44.88
11 มีนาคม 2563,39.30,32.70,41.97,43.82
12 มีนาคม 2563,39.50,32.20,42.16,44.04
13 มีนาคม 2563,39.00,32.00,42.12,43.57
16 มีนาคม 2563,38.00,32.00,41.44,42.46
17 มีนาคม 2563,38.00,32.00,41.47,43.19
18 มีนาคม 2563,38.30,32.00,41.48,43.15
19 มีนาคม 2563,37.30,31.80,41.50,43.19
20 มีนาคม 2563,36.50,31.50,40.92,43.20
23 มีนาคม 2563,36.30,31.00,40.24,41.70
24 มีนาคม 2563,35.80,31.00,39.26,40.68
25 มีนาคม 2563,35.30,31.00,39.27,40.16
26 มีนาคม 2563,35.30,30.50,39.27,40.22
27 มีนาคม 2563,35.50,30.30,39.39,40.22
30 มีนาคม 2563,36.00,29.50,38.79,39.62
31 มีนาคม 2563,36.00,29.50,37.48,38.39
1 เมษายน 2563,36.00,29.50,37.58,38.52
2 เมษายน 2563,36.00,28.50,37.62,39.01
3 เมษายน 2563,36.00,28.50,36.81,38.37
7 เมษายน 2563,36.00,28.60,36.55,38.87
8 เมษายน 2563,36.10,28.00,36.64,39.37
9 เมษายน 2563,36.40,28.00,36.64,39.65
10 เมษายน 2563,36.40,27.40,37.66,40.28
13 เมษายน 2563,36.70,27.50,37.66,39.85
14 เมษายน 2563,37.00,27.20,37.05,40.04
15 เมษายน 2563,37.10,27.30,36.99,40.02
16 เมษายน 2563,37.40,27.20,36.99,39.85
17 เมษายน 2563,37.50,27.50,36.99,39.80
20 เมษายน 2563,37.90,27.60,37.21,40.15
21 เมษายน 2563,38.20,27.50,37.21,40.17
22 เมษายน 2563,38.20,27.50,37.37,40.05
23 เมษายน 2563,38.20,27.20,37.37,39.78
24 เมษายน 2563,38.20,27.20,37.50,40.07
27 เมษายน 2563,38.80,27.50,37.79,40.14
28 เมษายน 2563,39.00,27.50,37.79,40.25
29 เมษายน 2563,39.20,27.50,37.95,39.99
30 เมษายน 2563,39.20,27.30,37.95,39.95
5 พฤษภาคม 2563,39.20,27.00,37.32,39.62
7 พฤษภาคม 2563,38.60,27.00,37.53,39.26
8 พฤษภาคม 2563,38.30,27.30,37.64,39.67
12 พฤษภาคม 2563,38.30,27.50,37.76,39.81
13 พฤษภาคม 2563,38.50,27.50,37.86,39.84
14 พฤษภาคม 2563,38.60,27.80,37.63,39.50
15 พฤษภาคม 2563,38.90,27.80,37.52,39.62
18 พฤษภาคม 2563,39.10,28.00,37.52,39.69
19 พฤษภาคม 2563,39.50,28.00,36.57,39.57
20 พฤษภาคม 2563,40.00,28.20,37.12,39.51
21 พฤษภาคม 2563,40.30,28.50,37.12,39.70
22 พฤษภาคม 2563,40.60,28.50,37.71,39.55
25 พฤษภาคม 2563,41.00,28.70,37.16,39.89
26 พฤษภาคม 2563,41.20,28.70,37.35,39.73
27 พฤษภาคม 2563,41.80,28.70,37.59,40.03
28 พฤษภาคม 2563,42.00,29.00,37.25,40.22
29 พฤษภาคม 2563,42.30,29.50,37.57,40.50
1 มิถุนายน 2563,42.80,29.80,37.89,40.92
2 มิถุนายน 2563,43.10,30.00,37.89,41.28
4 มิถุนายน 2563,44.00,30.20,38.89,41.52
5 มิถุนายน 2563,44.30,30.50,38.48,41.55
8 มิถุนายน 2563,45.00,31.50,39.48,42.22
9 มิถุนายน 2563,45.50,31.70,40.17,43.06
10 มิถุนายน 2563,46.00,32.00,40.17,43.24
11 มิถุนายน 2563,46.30,32.20,40.07,43.38
12 มิถุนายน 2563,45.80,32.20,40.00,43.25
15 มิถุนายน 2563,44.00,32.00,39.37,43.22
16 มิถุนายน 2563,44.00,32.00,39.04,42.97
17 มิถุนายน 2563,44.00,32.00,39.05,43.08
18 มิถุนายน 2563,44.00,32.00,39.05,43.12
19 มิถุนายน 2563,44.00,32.00,38.88,43.16
22 มิถุนายน 2563,44.10,32.00,39.12,43.18
23 มิถุนายน 2563,44.30,32.50,39.05,43.23
24 มิถุนายน 2563,44.30,32.50,39.28,43.39
25 มิถุนายน 2563,44.30,33.00,39.32,43.35
26 มิถุนายน 2563,44.30,33.00,39.18,43.42
29 มิถุนายน 2563,44.30,33.50,39.42,43.39
30 มิถุนายน 2563,43.80,33.50,39.88,43.27
1 กรกฎาคม 2563,43.30,33.50,39.44,43.38
2 กรกฎาคม 2563,42.80,33.50,39.61,43.40
3 กรกฎาคม 2563,42.80,33.50,39.59,43.35
8 กรกฎาคม 2563,41.80,33.50,39.72,43.45
9 กรกฎาคม 2563,41.50,33.50,39.75,43.51
10 กรกฎาคม 2563,41.30,33.50,39.43,43.57
13 กรกฎาคม 2563,41.30,33.50,39.87,43.55
14 กรกฎาคม 2563,41.50,33.80,39.88,43.79
15 กรกฎาคม 2563,41.70,33.70,39.78,43.68
16 กรกฎาคม 2563,41.70,33.50,40.01,43.67
17 กรกฎาคม 2563,41.20,33.50,40.09,43.72
20 กรกฎาคม 2563,40.90,33.50,40.39,43.69
21 กรกฎาคม 2563,40.90,33.50,40.76,43.79
22 กรกฎาคม 2563,40.90,33.50,41.10,43.99
23 กรกฎาคม 2563,40.90,33.50,41.69,44.19
24 กรกฎาคม 2563,41.20,33.50,42.15,44.27
29 กรกฎาคม 2563,41.20,33.50,42.19,44.45
30 กรกฎาคม 2563,41.40,33.50,42.49,44.64
31 กรกฎาคม 2563,41.40,33.50,42.94,45.39
3 สิงหาคม 2563,41.70,33.50,43.32,45.33
4 สิงหาคม 2563,41.70,33.50,43.48,45.79
5 สิงหาคม 2563,42.00,33.70,43.68,46.05
6 สิงหาคม 2563,42.20,33.70,43.75,46.03
7 สิงหาคม 2563,42.40,33.70,44.23,46.25
10 สิงหาคม 2563,42.70,34.00,44.84,47.28
11 สิงหาคม 2563,43.00,34.30,46.05,48.05
13 สิงหาคม 2563,43.00,34.50,46.42,48.34
14 สิงหาคม 2563,43.00,34.70,46.64,48.64
17 สิงหาคม 2563,43.00,35.00,47.19,49.42
18 สิงหาคม 2563,43.00,35.00,47.54,49.69
19 สิงหาคม 2563,43.00,35.20,47.77,49.88
20 สิงหาคม 2563,43.00,35.50,48.18,50.19
21 สิงหาคม 2563,43.00,35.50,48.11,50.12
24 สิงหาคม 2563,42.80,35.70,48.69,50.31
25 สิงหาคม 2563,43.00,36.00,49.05,51.39
26 สิงหาคม 2563,43.00,36.00,49.79,52.45
27 สิงหาคม 2563,43.20,36.50,49.93,53.43
28 สิงหาคม 2563,43.50,37.00,51.96,55.13
31 สิงหาคม 2563,44.00,37.50,52.98,56.44
1 กันยายน 2563,45.00,38.00,54.98,58.29
2 กันยายน 2563,45.80,38.50,55.83,60.05
3 กันยายน 2563,46.00,39.50,57.52,61.95
8 กันยายน 2563,46.00,38.50,55.10,58.05
9 กันยายน 2563,46.30,38.00,53.23,56.10
10 กันยายน 2563,46.30,37.50,53.06,54.32
11 กันยายน 2563,46.40,37.00,51.65,54.49
14 กันยายน 2563,46.50,36.50,51.73,53.48
15 กันยายน 2563,46.80,37.00,52.04,53.88
16 กันยายน 2563,47.00,37.50,52.77,54.52
17 กันยายน 2563,47.00,37.70,52.99,55.30
18 กันยายน 2563,47.00,37.00,53.15,56.45
21 กันยายน 2563,47.30,38.00,53.58,57.27
22 กันยายน 2563,47.70,38.00,54.29,58.06
23 กันยายน 2563,48.20,38.00,54.62,57.76
24 กันยายน 2563,48.50,38.00,55.32,56.94
25 กันยายน 2563,48.70,38.00,54.66,56.15
28 กันยายน 2563,49.20,38.00,55.83,57.33
29 กันยายน 2563,49.50,38.20,56.27,58.33
30 กันยายน 2563,49.70,38.50,56.28,58.33
1 ตุลาคม 2563,50.00,38.50,55.73,57.65
2 ตุลาคม 2563,50.50,38.50,54.89,56.82
5 ตุลาคม 2563,50.80,38.50,54.36,56.27
6 ตุลาคม 2563,51.00,38.50,54.71,56.34
7 ตุลาคม 2563,51.10,38.50,54.70,56.68
8 ตุลาคม 2563,51.10,38.00,54.81,56.58
9 ตุลาคม 2563,51.20,38.00,54.27,56.78
12 ตุลาคม 2563,51.50,38.50,54.85,57.08
14 ตุลาคม 2563,51.70,39.00,55.40,58.11
15 ตุลาคม 2563,52.00,39.50,56.79,59.30
16 ตุลาคม 2563,54.00,39.50,56.84,59.89
19 ตุลาคม 2563,56.50,40.00,57.60,60.09
20 ตุลาคม 2563,57.50,41.00,57.85,61.56
21 ตุลาคม 2563,59.00,41.50,58.00,62.76
22 ตุลาคม 2563,61.00,42.00,59.71,64.97
26 ตุลาคม 2563,65.50,44.00,60.60,66.22
27 ตุลาคม 2563,68.50,46.00,67.33,72.35
28 ตุลาคม 2563,70.50,47.00,70.18,77.55
29 ตุลาคม 2563,74.00,48.00,75.62,82.76
30 ตุลาคม 2563,74.50,48.00,74.25,80.96
2 พฤศจิกายน 2563,67.00,46.00,70.25,75.31
3 พฤศจิกายน 2563,64.30,44.00,68.26,70.32
4 พฤศจิกายน 2563,58.00,42.00,67.25,68.35
5 พฤศจิกายน 2563,52.70,40.00,61.36,63.15
6 พฤศจิกายน 2563,47.30,40.00,60.91,61.48
9 พฤศจิกายน 2563,46.80,40.50,60.00,62.29
10 พฤศจิกายน 2563,47.00,40.50,60.56,60.93
11 พฤศจิกายน 2563,47.50,40.50,60.94,61.51
12 พฤศจิกายน 2563,48.00,41.00,61.16,62.09
13 พฤศจิกายน 2563,50.00,41.00,61.87,63.66
16 พฤศจิกายน 2563,53.50,41.50,62.58,66.59
17 พฤศจิกายน 2563,53.50,41.50,64.47,66.74
18 พฤศจิกายน 2563,52.50,41.00,62.37,63.48
19 พฤศจิกายน 2563,52.50,41.00,60.49,61.94
20 พฤศจิกายน 2563,53.00,41.00,60.80,62.35
23 พฤศจิกายน 2563,53.20,40.50,61.72,63.38
24 พฤศจิกายน 2563,53.20,40.50,61.15,63.86
25 พฤศจิกายน 2563,53.50,40.50,61.36,64.39
26 พฤศจิกายน 2563,53.50,41.00,62.89,65.24
27 พฤศจิกายน 2563,53.50,41.00,62.77,65.75
30 พฤศจิกายน 2563,55.00,41.00,63.13,66.21
1 ธันวาคม 2563,56.00,41.50,64.92,68.57
2 ธันวาคม 2563,56.50,42.00,65.45,69.10
3 ธันวาคม 2563,56.50,42.50,66.67,71.78
4 ธันวาคม 2563,57.00,43.00,69.41,72.73
7 ธันวาคม 2563,57.00,42.50,67.02,70.34
8 ธันวาคม 2563,56.00,42.50,63.50,66.00
9 ธันวาคม 2563,54.00,42.00,62.89,64.03
10 ธันวาคม 2563,51.00,41.00,58.45,60.06
11 ธันวาคม 2563,49.00,40.50,58.69,60.19
14 ธันวาคม 2563,49.00,40.50,58.69,60.59
15 ธันวาคม 2563,49.00,41.00,59.00,61.15
16 ธันวาคม 2563,49.50,41.50,59.30,61.45
17 ธันวาคม 2563,50.50,42.00,60.18,62.33
18 ธันวาคม 2563,51.00,42.00,60.68,62.83
21 ธันวาคม 2563,52.00,42.00,60.97,63.83
22 ธันวาคม 2563,53.00,42.00,61.17,64.00
23 ธันวาคม 2563,51.50,41.00,60.10,62.00
24 ธันวาคม 2563,50.50,40.50,58.00,59.50
25 ธันวาคม 2563,51.00,40.00,58.00,59.50
28 ธันวาคม 2563,51.00,40.00,58.20,59.70
29 ธันวาคม 2563,50.00,40.00,58.00,59.50
30 ธันวาคม 2563,48.00,39.31,57.31,58.54
